Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,Last Url Form,External  Reviewer,Latest External Review Report
2W ENERGIA SA,Brazil,,Corporate - Utilities,Green,1,0.00bn,October 2022,https://dl.luxse.com/dl?v=Vh98LePUEr3z5rik30SRYE58dvw5gLa/toV4ZGWe0upNJ+sd7D0eZ/HLZwnefZ5OBDIYUgjdjiNYU/RvShoWDuY8rBgxSN2Y9ft/JHv7v5ASZuTAYAgS8aeIAvjjinRO,Other,October 2022
360 ENERGY SOLAR SA,Argentina,,Corporate - Energy,Green,4,0.10bn,October 2024,https://dl.luxse.com/dl?v=90x0BF2XvNz5jVlHMy0eq2Kf1umEUxnpe1J+Cl+EVHdw8waeyIpggU3JpDnXdt2eusllyKhGkaoGsLZkycLbaREigt6BUGO32jsM48MHfUzRcYzXI8kIQUEJokudE5wN,Fitch Ratings,October 2024
A.P. MOLLER - MAERSK A/S,Denmark,,Corporate - Industrials,Green,5,2.40bn,,,S&P,February 2024
A2A S.P.A.,Italy,,Corporate - Utilities,Green,6,3.68bn,,,V.E,February 2022
A2A S.P.A.,Italy,,Corporate - Utilities,Sustainability Linked Bonds,2,1.14bn,,,V.E,February 2022
AAREAL BANK AG,Germany,,Financials - Consumer Finance,Green,5,1.63bn,October 2023,https://dl.luxse.com/dl?v=VmY9SSe13soye6o9EofqaD5OeJu5rC/UcYzUl64HQi2qLHRC/zbOuO1l4SpWNBwibrapszCKNTMFs+m8iwEBryKYTruxJsR+JTeAOOF27auD6Bl9dJqwSCRKDM1UYd+Q,Sustainalytics,October 2023
AARGAUISCHE KANTONALBANK,Switzerland,,Financials - Banking,Green,4,0.45bn,,,ISS ESG,August 2024
AAVAS FINANCIERS LTD,India,,Financials - Consumer Finance,Social,1,0.05bn,April 2021,https://dl.luxse.com/dl?v=+NgEZlP/kRm6UPWyXCJguJsBhX1LQpxXsneqBbhc4lGAkKScUXQPQ9dWdeFuRNH0BSLv6eU9B1jyIO2WphUMyv2m055boIef83AfVGs+fXlRx3bW38WUnnBdqvmQhYlv,Other,April 2021
AB ELECTROLUX (PUBL),Sweden,,Corporate - Consumer Discretionary,Green,3,0.35bn,,,Cicero,September 2022
AB IGNITIS GRUPE,Lithuania,,Corporate - Utilities,Green,2,0.69bn,,,Cicero,June 2017
ABANCA CORP BANCARIA SA,Spain,,Financials - Banking,Green,2,1.09bn,July 2021,https://dl.luxse.com/dl?v=C6P9hDiOj7TZNfq7Xd/PIFzElk3qI84WHQ8VS/NkgvVCT4nMSooam/y1hSwOtqBDRj2TXL0HT7wKafeNKNWjw0ea8QhXV/6vHosBNDutPQPpL+QCsWcT0ETOuf3U7zyG,Sustainalytics,July 2021
ABC FINANCIAL LEASING CO LTD,China (mainland),,Financials - Commercial Finance,Green,1,0.41bn,,,EY,April 2023
ABEILLE VIE,France,,Financials - Insurance,Sustainability,1,0.50bn,August 2022,https://dl.luxse.com/dl?v=Qh7ZAjAWgQad+F6Yr53LkZpD0X5aTbcETnsp2vIiYkjpSxtz5zVii8V+pc8aX0F7w75eGMT5zyRJ3YauuCbkxMNQrwxZIe3xKCgo+SFPDcO/vJsC+AueMForLCyYt3wn,Moody's,August 2022
ABERTIS INFRASTRUCTURAS S.A.,Spain,,Corporate - Industrials,Sustainability Linked Bonds,1,0.65bn,December 2022,https://dl.luxse.com/dl?v=w/Dt1akGe7Ez+rH5/zP9lULdm+BW4F5Vkys0riKvD4ijNNm26eMwgydAuJPu0VGdG67M2RGwL61e3auGLuVcpmCI7JnQkT8GXFCFwGzYnhmXjVCb+QM71T7BiIg540Db,Sustainalytics,December 2022
ABN AMRO BANK N.V.,Netherlands,,Financials - Banking,Green,16,11.46bn,,,ISS ESG,February 2024
ABO WIND AG,Germany,,Corporate - Energy,Green,1,0.09bn,,,Imug,April 2024
ABSA BANK BOTSWANA,Botswana,,Financials - Banking,Sustainability,1,0.01bn,June 2023,https://dl.luxse.com/dl?v=r4/qsWxPr5EtQMCj8KS5iVgJMJoCCuRQJIMZ0Qbw9RSfH6L7+3zy5wVeTQBozyRFEq9tLHuN3H44mvqN+54ZOFO5ssh7LXPqgRFVpHl3OniNt0pQK9VoRzsxCUGF3001,Other,June 2023
ABSA BANK LIMITED,South Africa,,Financials - Banking,Green,6,0.34bn,May 2022,https://dl.luxse.com/dl?v=RteKsWUDLuJ59/DVVbK+PDOGtSutTvMrfqCTRR19B/N9Isix5YglqCHHG475YVf9cw2bpxBcUqKx0GguonPF/RalC0iX3x3fVEKVjtt7Z5e3tKK+tRH++MT3hwisKEQR,IBIS ESG Consulting Africa,December 2023
ABSA GROUP LTD,South Africa,,Financials - Banking,Green,2,0.22bn,May 2022,https://dl.luxse.com/dl?v=r+mYoEbbf21JAOOB+oYOTHH//k6DK/zSkvtAcfiMsiZbpv8fUdbwsjysw7NVgU0bGKeriGH1AQBj9JXZIxg9ugaFa99PoEdcJgf+lUrs9zWbH6Hx26N28zPKF8zIQRU/,Carbon Trust,May 2022
ABSA GROUP LTD,South Africa,,Financials - Banking,Social,1,0.05bn,,,IBIS ESG Consulting Africa,December 2023
ABU DHABI COMMERCIAL BANK P.J.S.C.,United Arab Emirates,,Financials - Banking,Green,2,1.15bn,,,ISS ESG,August 2022
ABU DHABI NATIONAL ENERGY CO PJSC,United Arab Emirates,,Corporate - Utilities,Green,4,1.85bn,,,Moody's,April 2023
AC ENERGY FINANCE INTERNATIONAL LTD,Cayman Islands,,Corporate - Utilities,Green,3,0.81bn,January 2019,https://dl.luxse.com/dl?v=BajIwakRuKjsoq1To/hgdRP7DqQwGhGSpGX4WbbRWrNoMKSzIFecbrQLbYIJtjeoL5vVbXWAZ+zM6uTyIbf/qN4SvayACKVp4BwKRto+mZLxImWFKMD6cG2jB0HotFSv,Sustainalytics,January 2019
ACCESS BANK PLC,Nigeria,,Financials - Banking,Green,1,0.05bn,,,S&P,December 2021
ACCIONA ENERGIA FINANCIACION FILIALES SA,Spain,,Corporate - Energy,Green,4,2.23bn,November 2019,https://dl.luxse.com/dl?v=eyPgRsg90hdHXn8LMr6tG0I+BYzNpaIXuqTviogzR8WkxvGNpzB3KRZNMhhQ5XmckeCp/j8o27gqj97HJDkv2crFT7H7QnIkOGpUL7I2Ybq41TThQqzFMaddljXeshOC,DNV GL,June 2023
ACCIONA FINANCIACION FILIALES SA,Spain,,Corporate - Industrials,Green,41,2.54bn,November 2019,https://dl.luxse.com/dl?v=uNxE2X/dNeG+t5hGAMR27+aZIqEbbqWm/CDg4XrPSrhMjw2tN6hI2rBWEJfN/zD0nVwicoIDJdq6swXk5MkT8aHjzjnFpYIOR6G3MpBJz6/9DP6cEfxAe5prtCJA2b1s,DNV GL,June 2023
ACCOR,France,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.79bn,,,Sustainalytics,November 2021
ACEA S.P.A.,Italy,,Corporate - Utilities,Green,3,1.85bn,,,ISS ESG,January 2021
ACEF HOLDING SCA,Luxembourg,,Financials - Real estate,Green,2,1.19bn,May 2021,https://dl.luxse.com/dl?v=RywtDKNycEBAZFqITW3249v2N4w+Khtj7c5Oc6oA+xpo17L1kbfgb1JfcPAXYcxVGP1Ch+SNpSUjgk0/TghQNFxb+Ed+hNEWfnrPgKQUGBrK3nwO8ysR3bJLRqIyYX15,Sustainalytics,May 2021
ACEN FINANCE LTD,Cayman Islands,,Corporate - Utilities,Green,1,0.40bn,August 2021,https://dl.luxse.com/dl?v=975xooDaiVqlEQOISy9LO08ESRS8u9cQwDMrxMEYwKq6mvQET3PY+LLGZcH2KtpRpNwvClmpdrDfOsL8zUNKvsgby+9/czTGBHbJTBKtqpYIEsEWEVdNARtaKbwZr+MC,Sustainalytics,August 2021
ACHMEA BANK N.V.,Netherlands,,Financials - Consumer Finance,Green,1,0.53bn,,,ISS ESG,July 2024
ACHMEA BV,Netherlands,,Financials - Insurance,Green,1,0.51bn,,,ISS ESG,February 2022
ACS SERVICIOS COMUNICACIONES Y ENERGIA SL,Spain,,Corporate - Industrials,Green,1,0.92bn,,,S&P,April 2018
ACTAQUA AG,Germany,,Corporate - Consumer Discretionary,Green,1,0.01bn,,,Imug,May 2022
ACTION LOGEMENT SERVICES SAS,France,,SSA - Agencies,Sustainability,8,8.51bn,,,V.E,September 2019
ACTIVIA PROPERTIES INC,Japan,,Financials - Real estate,Green,4,0.13bn,December 2018,https://dl.luxse.com/dl?v=zMgOAt5GWUG4VNG+I8Jvcgoy69T9TX+r02cR0XQsPjGUXtxX0nENhu7NFczS1hix+BGZodeA6+eN3isUMKpi2OpBMIvfa97CrUyY8WpT/Jgt79e2GXDiFq++u8fbBk83,Sustainalytics,December 2018
ACUON CAPITAL CORP,Korea,,Financials - Financial services,Sustainability,4,0.04bn,,,Deloitte,February 2021
ADANI ELECTRICITY MUMBAI LTD,India,,Corporate - Utilities,Sustainability Linked Bonds,2,0.30bn,,,V.E,July 2021
ADANI GREEN ENERGY UP LTD / PRAYATNA DEVELOPERS PVT LTD / PARAMPUJYA SOLAR ENERG,India,,Corporate - Utilities,Green,2,0.41bn,,,Fitch Ratings,February 2024
ADANI RENEWABLE ENERGY RJ LTD/KODANGAL SOLAR PARKS PVT LTD/WARDHA SOLAR MAHARASH,India,,Corporate - Utilities,Green,2,0.36bn,,,KPMG,September 2019
ADIB SUKUK CO II LTD,Cayman Islands,,Financials - Banking,Green,1,0.50bn,,,ISS ESG,October 2023
ADIDAS AG,Germany,,Corporate - Consumer Discretionary,Sustainability,1,0.58bn,September 2020,https://dl.luxse.com/dl?v=sm0rv/5RFNrwAm1mj5f3+sacyU9e7OaW+yKYGU/UsBN0iNpwsY9scJqw/igNRdMtIM4/IhMIdTUM/YeLsMraHS0qahvgt/JrfFZIUVkBKImcwjB2Dx4lHaEtCrxdRmnf,Sustainalytics,September 2020
ADIF ALTA VELOCIDAD,Spain,,SSA - Agencies,Green,7,4.44bn,June 2017,https://dl.luxse.com/dl?v=roXlD6xCe6vawS+QTW4NWMznqfip6F2tZb/fNrZZGgDogNR2UECM1O/lh8MpMJpiFRbqTnBlZG9Z4+3izQ+3K502RduQOImlEK10f/niyx4Z4EJKuXhv9bQxdDHzBJH7,Fitch Ratings,August 2022
ADVANCE RESIDENCE INVESTMENT CORP,Japan,,Financials - Real estate,Green,3,0.05bn,June 2019,https://dl.luxse.com/dl?v=FcM4modGB8kKhYuikg+2GP4ec9GtqrBbcr3ur3v4Iou6F8sMdmx/qgBws37IIztTPMMaXnyPuEwBIQ2SYDLzgUuQqKPkGZ3CdrAi4OnpcoSV0Hl4/4EbOoiAi0HrBe+Z,Japan Credit Rating Agency,June 2019
ADVANCED INFO SERVICE PCL,Thailand,,Corporate - Communications,Sustainability,5,0.74bn,September 2024,https://dl.luxse.com/dl?v=UVx52j9nDPguEY6d1i1z1qzDx8DMkJNsK61kRfxpmTMnC0HACZTN0VKkEAq39pKBapnNtdDLDi/KztBP0XuP6iQEBhHWLE2LjEqTKSZ1WdbTC4am08NvOri8JxU3hLsi,DNV GL,September 2024
AECI LTD,South Africa,,Corporate - Materials,Sustainability Linked Bonds,1,0.02bn,,,IBIS ESG Consulting Africa,September 2023
AEDAS HOMES OPCO SLU,Spain,,Financials - Real estate,Green,2,0.39bn,,,S&P,May 2021
AEDIFICA SA,Belgium,,Financials - Real estate,Sustainability,2,0.64bn,February 2022,https://dl.luxse.com/dl?v=W8Co16t0BtLaD+OrVJtJcpjZMVbPIuVXhOWvCoHkXDuEeigEFy8RXbs5oxXEuh3FDpKBf0jC1gH+JF5qVD8a7GfihLTIceIz1IZSHwEBOrrA5YF/yNodY0Zj61zfCyx6,ISS ESG,August 2021
AEGEA FINANCE SARL,Luxembourg,,Corporate - Utilities,Sustainability Linked Bonds,4,1.30bn,September 2023,https://dl.luxse.com/dl?v=gXsq6YyTIZH+qWSCz2PXjdfdwL14g+axvlrqRgoryGoK0YXx325zjAquWmi3sy/lmswSpEbhGSX2+3kTciC7bvQjeFBn/bxJxqBRS18+3QFdwli06Qf9H+8ruyJWcUsE,Sustainalytics,September 2023
AEON CO. LTD,Malaysia,,Corporate - Consumer Staples,Sustainability Linked Bonds,4,0.65bn,,,R&I,June 2024
AEON MALL CO LTD,Japan,,Financials - Real estate,Green,1,0.17bn,,,R&I,November 2023
AEON MALL CO LTD,Japan,,Financials - Real estate,Sustainability,2,0.29bn,August 2020,https://dl.luxse.com/dl?v=590hN1Zq8sFt7kA5SewYqTXeCuHND6lIfICqBNQ/GZCy/IFbHHR8pd3mGeaDsEmPq19t0uN+NwVvAYJGjo1Ty2TZXAvtVqqV3LpejnX0hq+NcxKg4KT5wYzNelOvUFTj,R&I,August 2020
AEON MALL CO LTD,Japan,,Financials - Real estate,Sustainability Linked Bonds,1,0.32bn,April 2022,https://dl.luxse.com/dl?v=jKlGfSkajrefl5CNSMnApG+fPBVBok9i9X2LxgYHo3i7XwVYzviSjMOu9EvBR8VfTgWGh4bva2p+nOkY+YegEczCj836LV9ec3aLNUc9X5DUkBFL7TSSpFWOprGO7AIs,R&I,April 2022
AEON REIT INVESTMENT CORP,Japan,,Financials - Real estate,Green,1,0.11bn,November 2019,https://dl.luxse.com/dl?v=mBM/APybfbYEthcZZN4BCjRnzw4K63Kmzw1y23aJYSdwu7t8j2FZMXwRjCf33J3jtoNuZGZMQ+aKw2ITtztSVtY2LkEe50T1wMCYtFmAN+w/7FaMWx//ZzLPrjhTiR6r,Japan Credit Rating Agency,November 2019
AEON REIT INVESTMENT CORP,Japan,,Financials - Real estate,Sustainability,1,0.17bn,November 2019,https://dl.luxse.com/dl?v=mBM/APybfbYEthcZZN4BCjRnzw4K63Kmzw1y23aJYSdwu7t8j2FZMXwRjCf33J3jtoNuZGZMQ+aKw2ITtztSVtY2LkEe50T1wMCYtFmAN+w/7FaMWx//ZzLPrjhTiR6r,Japan Credit Rating Agency,November 2019
AEROPORTI DI ROMA S.P.A.,Italy,,Corporate - Industrials,Green,1,0.36bn,,,S&P,November 2020
AEROPORTI DI ROMA S.P.A.,Italy,,Corporate - Industrials,Sustainability Linked Bonds,2,1.04bn,April 2021,https://dl.luxse.com/dl?v=DuFAiMCvcq1EFCdeXdnPXB2ql93uIy1oh55EgpoJhcD9jwYEM9fz6vGMTaXPHQAOORBe8jARvhRZ6qplR3GjtTZc/qunxBysZk5OBB8QvNHZ2N9Cq6ljoOKN4MY04M0T,Sustainalytics,April 2022
AES ANDES S.A.,Chile,,Corporate - Utilities,Green,6,1.48bn,November 2023,https://dl.luxse.com/dl?v=uyFLbeaJVSa1CJz8jKxJQ3qW3Xgi7Dz9VcORRBrhRQnW5TzkNZ+NrHFWaIfhngaly0hDBfTfUgrMav0i8rpGfaaN1RRh4Co1K6PVr7WCNsrvh2Sres0iPu8j/nX7htQh,Sustainalytics,November 2023
AES CAJUINA AB1 HOLDINGS SA,Brazil,,Corporate - Utilities,Green,1,0.19bn,September 2022,https://dl.luxse.com/dl?v=OFxNp1qVWNE9meCeyPgWxLXWCTkKIHIsbazQuEY8VX9JLLHs8C61ioDrYUhRmvVunBq8ceNgkfHeT5C3uNszRvAMOfzstupk9vGXZYlSCBJn1dLO6QVY7fN4plNhciN/,Other,September 2022
AES CORP/THE,United States,,Corporate - Utilities,Green,10,5.54bn,,,,
AFLAC INC,United States,,Financials - Insurance,Sustainability,1,0.40bn,March 2021,https://dl.luxse.com/dl?v=nJylX/MfmfSVkgQVDMtNrzEwcWlQnPWuxsU55gMb2ZQb6zxX3bA2VTe2Ds7/xhVvYJ8iymK8qjEtsVJehoUekBwmtFbGOE6TfCHK0H8U1OVE7BKjAzCFDLYsD2fv/0rQ,Sustainalytics,March 2021
AFRICA FINANCE CORP,Supranationals,,SSA - Supranationals,Green,1,0.16bn,,,ISS ESG,September 2020
AFRICAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Green,8,1.74bn,,,Moody's,September 2023
AFRICAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Social,13,8.88bn,September 2017,https://dl.luxse.com/dl?v=ycfaphYrw8SZVKkhqz5m7Ei1UxHY3xobpxlGu872al+k6BwoXM4+t0devDghFmPGaks5ic1dZ+WfFxiNbzR9FC4ZAKLnRK2BxfQu0PMuTSVZoczK9f+fkm1KCKJBMqhJ,Moody's,September 2023
AFRICAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Sustainability,1,0.75bn,,,Moody's,September 2023
AGDER ENERGI AS,Norway,,Corporate - Utilities,Green,10,0.71bn,,,Cicero,June 2023
AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,France,,SSA - Quasi-sovereigns,Green,3,2.51bn,,,V.E,October 2020
AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,France,,SSA - Quasi-sovereigns,Sustainability,18,22.17bn,,,Moody's,November 2024
AGENCE FRANCE LOCALE,France,,SSA - Quasi-sovereigns,Sustainability,5,1.88bn,,,V.E,January 2020
AGENCE METROPOLITAINE DES DECHETS MENAGERS,France,,Corporate - Industrials,Green,11,0.15bn,,,V.E,March 2020
AGENZIA NAZIONALE PER L’ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D’IMPRESA S.P.A.,Italy,,SSA - Agencies,Social,1,0.35bn,,,DNV GL,October 2022
AGILE GROUP HOLDINGS LTD,China (Hong Kong),,Financials - Real estate,Sustainability,1,0.31bn,,,DNV GL,June 2021
AGILYX ASA,Norway,,Corporate - Industrials,Green,1,0.05bn,,,S&P,November 2024
AGRARIUS SUSTAINABILITY ENGINEERED (RF) LTD,South Africa,,Corporate - Industrials,Sustainability Linked Bonds,1,0.02bn,,,IBIS ESG Consulting Africa,January 2024
AGRI RESOURCES GROUP S.A.,Luxembourg,,Corporate - Consumer Staples,Sustainability,1,0.06bn,February 2020,https://dl.luxse.com/dl?v=ZQVToLgA+NUgD69y2uvibZehnBp1GYwgNz+mq3AhHvpvoYbBwIQFVpSvJa/Xy0eZ73u4pqhCBcThVGkZbcGSWPB+Olh8vFP0+z7GGKHDe8hJuNq+eCXRH1x2WJx3FsPf,V.E,February 2020
AGRICULTURAL BANK OF CHINA LTD/HONG KONG,China (mainland),,Financials - Banking,Green,2,0.88bn,January 2022,https://dl.luxse.com/dl?v=dsNKWSk0FSLOlhPeO3ii6gh5fyfxpt7xD79NyF6FQ27R9JKsAmd8Yp174G86b/aeHYI/1cHzdwMtgGnmYb7efexFUKQM00GPDBwPUZiKuaRJTx+yvamnSkWv/yXKAgXj,Sustainalytics,January 2022
AGRICULTURAL BANK OF CHINA LTD/LONDON,United Kingdom,,Financials - Banking,Green,1,0.30bn,,,Deloitte,September 2015
AGRICULTURAL BANK OF CHINA LTD/NEW YORK,China (mainland),,Financials - Banking,Green,4,3.36bn,,,S&P,January 2022
AGRICULTURAL DEVELOPMENT BANK OF CHINA,China (mainland),,SSA - Quasi-sovereigns,Green,5,4.13bn,,,China Lianhe,September 2024
AGROTO BUSINESS M SDN BHD,Malaysia,,Corporate - Consumer Staples,Social,1,0.05bn,,,Malaysian Rating Corporation,March 2021
AGSM AIM SPA,Italy,,Corporate - Utilities,Green,1,0.05bn,,,Sustainalytics,June 2024
AGUAS ANDINAS SA,Chile,,Corporate - Utilities,Green,2,0.05bn,,,V.E,April 2019
AGUAS ANDINAS SA,Chile,,Corporate - Utilities,Social,1,0.00bn,May 2018,,,
AGUAS ANDINAS SA,Chile,,Corporate - Utilities,Sustainability,1,0.11bn,,,Moody's,April 2024
AHMEDABAD MUNICIPAL CORP,India,,SSA - Quasi-sovereigns,Green,1,0.02bn,,,,
AIB GROUP PLC,Ireland,,Financials - Banking,Green,6,5.11bn,August 2023,https://dl.luxse.com/dl?v=GEDW2UcHWmz+2/x4roilPv6OBNeQl9Jc0c0eVglOo5m69Sm6vSnkNISkT21jBkFMBk089Ax82iswUxKyIfYRa5Ms/jVrAiyiaX6dDH8c4STE/HWyigoSfmzidssWB2Ns,Sustainalytics,August 2023
AIB GROUP PLC,Ireland,,Financials - Banking,Social,2,1.91bn,,,ISS ESG,March 2023
AICHI PREFECTURE,Japan,,SSA - Quasi-sovereigns,Green,3,0.21bn,October 2022,https://dl.luxse.com/dl?v=w7h7OxhTfxw0m2Ni48j/e3P9rvEDEAWVTVtj9Me2yTkSOPqyDdobY5lUtcrGj9jNWnJssOj76X4g+GcZwMm5DWJf45HBK0sxph1rF6Rs2J2TQ7Hdn+YJ6Bqsj4gbYvAM,R&I,October 2022
AIFUL CORP,Japan,,Financials - Consumer Finance,Social,1,0.11bn,,,Japan Credit Rating Agency,March 2023
AIMCO REALTY INVESTORS LP,Canada,,Financials - Real estate,Green,3,1.06bn,September 2021,https://dl.luxse.com/dl?v=ZXpi1dIDSkaQJE5Utrd82nDoljov37F50JbzyAWm1sp9ioAVhaaLe3BjMeI59FZR+wRXEMRfgTIimehrb09+r8+kRl0isAnChHhX+lbeJe2WS1HEGk0HU4JBcEbr0RZb,Sustainalytics,September 2021
AIR FRANCE-KLM,France,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,1.05bn,,,Moody's,December 2022
AIR LIQUIDE FINANCE,France,,Corporate - Materials,Green,2,1.15bn,May 2021,https://dl.luxse.com/dl?v=KhB2gvKj2c3gJBNct0E7/gZpsV9aDUndDgClSsplxH2xr7hBhCk5IVF4mUn34S2dORn2tRVq+PVay4jk6aPBx+AX9za28rInblBEwiU7c0sCpQwv7992myTSYTy+Ve1W,Moody's,May 2024
"AIR PRODUCTS AND CHEMICALS, INC.",United States,,Corporate - Materials,Green,5,3.84bn,February 2023,https://dl.luxse.com/dl?v=V55bjSKYppqVAUi9JV1O0DdCJyExZB0jTACAf1iBoIptBZ4//OPdk0Sz5bA6BE/sf9fVrLa8NVSk0G6+jSeMkUENOdWb1VU7yVhd/lx0pPhy0vqY9dKeaUrF9slvJskf,Sustainalytics,February 2023
AIR WATER INC,Japan,,Corporate - Materials,Sustainability,1,0.07bn,May 2022,https://dl.luxse.com/dl?v=8CiNFizHwNaOdQInN/vkDavvDTNOhksWbFGc/4ebxHBO6RpsGnphfaP4t+xSYWGE+sdVyEuszQs9Qoq30YBwS36TEhljvxXV78O9WGuZsrdxIFWPHMzw3x9wTAQzmm1W,R&I,May 2022
AIRPORT AUTHORITY,China (Hong Kong),,SSA - Agencies,Green,4,2.00bn,October 2021,https://dl.luxse.com/dl?v=GayPoX4J84ZGr/AUJeygPubseFqLaf2IA9BvVJNqBpKiRHRytXnxGukAif6hnypfpO7croXKFbBqgJslqwhZH4ZVXluqIRKdmve8HFkgNO0O96tVVtoa3jktgVaQjQuf,Sustainalytics,October 2021
AJ NETWORKS CO LTD,Korea,,Corporate - Industrials,Green,1,0.02bn,,,NICE,October 2023
AJINOMOTO CO. INC.,Japan,,Corporate - Consumer Staples,Sustainability,1,0.09bn,September 2021,https://dl.luxse.com/dl?v=zMgOAt5GWUG4VNG+I8JvcqSiTQcz2arrsAW4Qa6il0Ao1Ff95H5ur+JNwBQpuxi3x/cj5syrm4z/0Udpj7n1uxcqshzYtdGYtYQl7m/fI3SseBZEk8guUoeZU/+s/9c4,R&I,September 2021
AJINOMOTO CO. INC.,Japan,,Corporate - Consumer Staples,Sustainability Linked Bonds,2,0.21bn,May 2023,https://dl.luxse.com/dl?v=Vz9bCdmmkbTov8xhqe1wHeDIz/M3Q69GiL/+Ltz0QpYeBgrDBPg1k5dtdAK7QvW9sOOgi5kosQOfds9YOS/KWY47fA2Ddiw0foimW9mi1YRwAwnFy1iQnrG3r9aVPM8T,Sustainalytics,May 2023
AKADEMISKA HUS AB,Sweden,,Financials - Real estate,Green,2,0.31bn,May 2019,https://dl.luxse.com/dl?v=IXHiTizQQ9uR56Kxv4MKAuLvJW1N6bohLtVtEQPY/+fq/oJfIf5nitfCAQLHRg+2Ux7AGyWr0G3JML5WXmjVDIAgCMl7hHVqYDHOEWV7HOb5prCjBaeA08iSBZTAfHui,Cicero,June 2023
AKBANK TÜRK ANONIM SIRKETI,Turkey,,Financials - Banking,Green,3,0.17bn,February 2021,https://dl.luxse.com/dl?v=Q/yC3U5oOWnkw8vJdRYjdBRpDEqVnoN54h+k+6nitloOBbA5mRzmDzdRG7+2YH3xRIxjJc39BRNepcW2KVv5348b0iY/XBl5Rfx4DhefC6UXdXqZqCQrueCM2SxRnLYI,ISS ESG,April 2023
AKBANK TÜRK ANONIM SIRKETI,Turkey,,Financials - Banking,Social,3,0.17bn,February 2021,https://dl.luxse.com/dl?v=nWBx6BOPXTMXbzFHFO46TVn1jcmKM+T0MqoIY9ObcKuWFCn4eTkdWsFe32CZ+gSYXkm5pN27RctghsWV3yW5rgtcY7NL3gdmWpcPzVGFCXEK899/wzWrwCv/wYk5FBzj,ISS ESG,April 2023
AKBANK TÜRK ANONIM SIRKETI,Turkey,,Financials - Banking,Sustainability,8,2.21bn,February 2021,https://dl.luxse.com/dl?v=IXHiTizQQ9uR56Kxv4MKAuLHB/31raPGPnFSoOSc0+hSjJ9YszZ9wAxnl/XUL0fMsQhKLT9L9rcpF7poVGh3E7K3vUILqbYQ6SM+1C4aYMrtBJHTiAI9K1PQGlw91BDJ,ISS ESG,April 2023
AKER ASA,Norway,,Financials - Financial services,Green,4,0.29bn,,,DNV GL,January 2021
AKER HORIZONS AS,Norway,,Financials - Financial services,Green,1,0.29bn,,,DNV GL,January 2021
AKERSHUS ENERGI AS,Norway,,Corporate - Utilities,Green,2,0.11bn,,,Cicero,December 2020
AKITA PREFECTURE,Japan,,SSA - Quasi-sovereigns,Green,2,0.10bn,,,Japan Credit Rating Agency,September 2023
AKTIEBOLAGET SKF (PUBL),Sweden,,Corporate - Industrials,Green,2,0.73bn,,,Cicero,October 2019
AKTIEBOLAGET SVENSK EXPORTKREDIT (PUBL),Sweden,,SSA - Quasi-sovereigns,Green,12,2.57bn,,,Cicero,December 2021
AKTIEBOLAGET SVENSK EXPORTKREDIT (PUBL),Sweden,,SSA - Quasi-sovereigns,Sustainability,2,0.97bn,December 2021,https://dl.luxse.com/dl?v=ogbvKLtitb/hmunpjfYYtrS8OqbUsAEvPHzz0T5lnU01EtsDvXN3yuM7tyQa6NRG+xyS59gcxncUpHkpIBeXLS72hu8w5RX3vmgp16vuj7BPYoBSJ8IzhZo3G1FJ327e,Cicero,December 2021
AL RAJHI BANK,Saudi Arabia,,Financials - Banking,Sustainability,1,1.00bn,,,S&P,September 2022
AL RAJHI SUKUK LTD,Saudi Arabia,,Financials - Banking,Sustainability,3,3.63bn,,,S&P,September 2022
ALABAMA POWER CO,United States,,Corporate - Utilities,Sustainability,1,0.45bn,December 2020,https://dl.luxse.com/dl?v=dsNKWSk0FSLOlhPeO3ii6n2g+nA9Ql3XW+Em3dpO5SJExDk1L8NwlAe5IjLVcL2VwMeXLvNDZk/QML+Kj0f0UR94bsxudo3k5/Du72Cu9l1Z7G6Orj4NUEixB3qrUHt3,Sustainalytics,December 2020
ALANDSBANKEN ABP,Finland,,Financials - Banking,Green,1,0.02bn,,,Cicero,September 2021
ALBIOMA SA,France,,Corporate - Utilities,Sustainability Linked Bonds,2,0.12bn,,,V.E,November 2020
ALCOA NEDERLAND HOLDING BV,Netherlands,,Corporate - Materials,Green,2,0.75bn,,,Sustainalytics,February 2024
ALDAR INVESTMENT PROPERTIES SUKUK LTD,United Arab Emirates,,Financials - Financial services,Green,2,1.00bn,May 2023,https://dl.luxse.com/dl?v=IPCC7SuX4WGlmGWW+LBsLoCrvYnzet96yKRn0MogyuKsMUmOvfb7x9243uPBYT2zaIJ8EEgBPcDfVa2dXAoCMrhZLxz/9HH3WPN51SjEUEfMegc6uT7mMMYVqYz+QtHp,Sustainalytics,May 2023
ALERION CLEANPOWER SPA,Italy,,Corporate - Utilities,Green,5,1.01bn,,,DNV GL,November 2024
