Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,Last Url Form,External  Reviewer,Latest External Review Report
MORGAN STANLEY,United States,,Financials - Financial services,Social,1,1.00bn,October 2020,https://dl.luxse.com/dl?v=XHnq25ZkHkR4BMg7/mlsP4se6JefYyzMyjBnBD1FzrqrGpHOlk5y/dMSIPOiJVOrzrap1fbrA4B5Vm2UG1MjZq8xn5wROb27rsVJKFTrPEJUMRE9xRIeANvEUSV1uA3Y,DNV GL,October 2020
MORHOMES PLC,United Kingdom,,Financials - Consumer Finance,Social,7,0.79bn,January 2021,https://dl.luxse.com/dl?v=oFRdx8NZplXHD9UKEI0smGQYJ5czdii+bOg2L5C6LYNXByiESeQnbI6JOZCvVYDJN2IhoUjBZ2sNuZ4CY354vl20ExhKn0QSKoRMwvE8pvqcIV1y2i8TAMoJ4xKfow0K,Sustainalytics,January 2021
MORHOMES PLC,United Kingdom,,Financials - Consumer Finance,Sustainability,2,0.10bn,January 2021,https://dl.luxse.com/dl?v=kFbUu+tSfs6OGlHXa05SXCKUlukbIZgL0YO8WKUS4vq0tgbGSbT39ESUqUvdyhXUNmkK9hkWk8qh6HsOowaFQywYX+ZJF9DqRh7MAFguBvCodajKV1c7lcdqWkT8uDKb,Sustainalytics,January 2021
MORI BUILDING CO LTD,Japan,,Financials - Real estate,Green,4,0.98bn,July 2022,https://dl.luxse.com/dl?v=8pWrBp8HcW/8lKyZW3bTFSdpyf9IuYkRFyc4mQxfs7bX8Z7KiLyeDuMavJaiHlaIeP8lB5hv/0jUo8oFxy19JLneKEWXrmSCvAp+zyhp6BlDDS7I4n9iwwtMbeP0T3dJ,Japan Credit Rating Agency,June 2024
MORI HILLS REIT INVESTMENT CORP,Japan,,Financials - Real estate,Green,6,0.12bn,February 2020,https://dl.luxse.com/dl?v=xz06eSAtrmY+6AY9qgORUpCaQ4VnFtyhpWUYSakHSfKrEa78pNruMBEBt+MbHqs5Q33x2r3dBAuTyxGEIG+P5lRwCk+SfFcT5fra0+y5KFTdzoshmcnHLx4CLnjwWDZr,Japan Credit Rating Agency,August 2023
MORI TRUST REIT INC,Japan,,Financials - Real estate,Green,1,0.01bn,,,Japan Credit Rating Agency,November 2023
MORINAGA & CO. LIMITED,Japan,,Corporate - Consumer Staples,Sustainability,1,0.06bn,,,Japan Credit Rating Agency,November 2022
MORINAGA MILK INDUSTRY CO. LIMITED,Japan,,Corporate - Consumer Staples,Green,2,0.10bn,September 2022,https://dl.luxse.com/dl?v=J1CqbUm/PkkqiYtBbxNF94rKN4s9HKno6WVnA8OqasWieLAGsF0+GNlBpz2pVfN6Dcmigj1DecUkQqisosZ+BLIAbp3w4ag0kp41tCcBPMiolgITLJTgZ4HndTvbTMgN,R&I,May 2024
MOSAIC SOLAR LOAN TRUST 2018-1,United States,,Financials - Specialty finance,Green,3,0.24bn,October 2017,https://dl.luxse.com/dl?v=sm0rv/5RFNrwAm1mj5f3+oWkX8aXbLWRplVgY7IpBLDhxXdj8LoO6Tt8SFYU4jpUKXq9ofvedd2+x2z/FPphTOlEUbafRCEqPE8UOz/Vi+mS4b3S7vT3W+xvjxgZ7vQf,Sustainalytics,March 2018
MOSAIC SOLAR LOAN TRUST 2018-2-GS,United States,,Financials - Specialty finance,Green,4,0.32bn,October 2017,https://dl.luxse.com/dl?v=ogqxuejyfj6z9nG3KT+E6UiVUcberTsLc5yuT9POKyqQAYEbtPR2Tp5IVRETTL8YTfv9Cq+blCD5GFK2elljUE0n7v4vlq1i2q2jaZbabL1VqSgeNIF8EvzkeYpegVFo,Sustainalytics,October 2017
MOSAIC SOLAR LOAN TRUST 2019-1,United States,,Financials - Specialty finance,Green,2,0.26bn,October 2017,https://dl.luxse.com/dl?v=k7oyAJpd1mQHdXpsjpc9q825ydJ7TTZUBkE7ao51EfqeSJMILvpVxN/Yo2ipclEIlZ6bQ4XKsM6YF8qGafqFYOdZJJ+IexMs4v+Qg+6JeuKbYIehrB0Lmj1rIWZg/7Q8,Sustainalytics,January 2019
MOSAIC SOLAR LOAN TRUST 2019-2,United States,,Financials - Specialty finance,Green,4,0.21bn,October 2017,https://dl.luxse.com/dl?v=BTH6Knha6mKboqmxM0N5G3raHwWUuBjP2To4svLcbaYqV3AnSB7zbLzLT4kgKJDwav6wg2uPSenlVOdUofLepH6stNk6L9oTJS5kIUwpRKbTX75TZlPMyjadZpLMbGA7,Sustainalytics,October 2019
MOSAIC SOLAR LOAN TRUST 2020-1,United States,,Financials - Specialty finance,Green,8,0.53bn,October 2017,https://dl.luxse.com/dl?v=VtS3OeIHNCM2jUv+jez1rkIL+xpO9++1vxt4W3w24Lw6Z3M/T/9Kk5jR8XNzja1rG4QOHLDmIb5OIp+aOTRdBoHk3+EFFOvuCGa99EbzAJho0uU8ucglC5TQnNFTv83t,Sustainalytics,June 2020
MOSAIC SOLAR LOAN TRUST 2020-2,United States,,Financials - Specialty finance,Green,4,0.22bn,October 2017,https://dl.luxse.com/dl?v=fMfKQavTns5LLkW01d/KaWrZL6gKLyjCrwJSy+dFNscBO6GXFqgoD23OMWucZh1ZxAJxwUxRyCRWTqTVSDghZCor/bAr5wl0CPrwn0ny8c+8hQ8lC/AtfkZ4p9J/y3FG,Sustainalytics,September 2020
MOSAIC SOLAR LOAN TRUST 2021-1,United States,,Financials - Specialty finance,Green,4,0.33bn,October 2017,https://dl.luxse.com/dl?v=u6pk4+dNVYr84TX5bw2aG+k1OXDPoA27Tq0SEWOhd5u5mf5dflZiBsmYaWqk0MBDrxeYPXWJmFLz9RB80mGZJ/XnacqfuftXf7PSzbyNN2hTeM3Xc9GuJaqXtUcYO8sZ,Sustainalytics,March 2021
